*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type
has note on item,rdai:noteOnItem.en,Relates an item to a broad unstructured description of one or more attributes of an item.,,,,note on item,A broad unstructured description of one or more attributes of an item.,rdai:P40028,property,rdac:C10003,rdau:P60470,rdax:P00015,,,Published,2.21,6
has dedicatee collective agent of item,rdai:dedicateeCollectiveAgentOfItem.en,Relates an item to a collective agent to whom an item is dedicated.,,,,dedicatee collective agent of item,A collective agent to whom an item is dedicated.,rdai:P40113,property,rdac:C10003,rdau:P60455,rdai:P40076,rdai:P40025,,Published,,2
has binder collective agent,rdai:binderCollectiveAgent.en,Relates an item to a collective agent who binds an item.,,,,binder collective agent,A collective agent who binds an item.,rdai:P40114,property,rdac:C10003,rdau:P60458,rdai:P40128,rdai:P40013,,Published,,2
has curator collective agent,rdai:curatorCollectiveAgent.en,Relates an item to a collective agent who conceives or manages the aggregation of an item in an exhibition or collection.,,,,curator collective agent,A collective agent who conceives or manages the aggregation of an item in an exhibition or collection.,rdai:P40115,property,rdac:C10003,rdau:P60376,rdai:P40076,rdai:P40017,,Published,,2
has illuminator collective agent,rdai:illuminatorCollectiveAgent.en,"Relates an item to a collective agent who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",,,,illuminator collective agent,"A collective agent who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",rdai:P40116,property,rdac:C10003,rdau:P60421,rdai:P40128,rdai:P40012,,Published,,2
has current owner collective agent,rdai:currentOwnerCollectiveAgent.en,Relates an item to a collective agent who has current legal possession of an item.,,,,current owner collective agent,A collective agent who has current legal possession of an item.,rdai:P40117,property,rdac:C10003,rdau:P60400,rdai:P40120,rdai:P40018,,Published,,2
has owner collective agent,rdai:ownerCollectiveAgent.en,Relates an item to a collective agent who has current or former legal possession of an item.,,,,owner collective agent,A collective agent who has current or former legal possession of an item.,rdai:P40120,property,rdac:C10003,rdau:P60404,rdai:P40076,rdai:P40021,,Published,,2
has former owner collective agent,rdai:formerOwnerCollectiveAgent.en,Relates an item to a collective agent who has former legal possession of an item.,,,,former owner collective agent,A collective agent who has former legal possession of an item.,rdai:P40118,property,rdac:C10003,rdau:P60401,rdai:P40120,rdai:P40019,,Published,,2
has custodian collective agent,rdai:custodianCollectiveAgent.en,Relates an item to a collective agent who has legal custody of an item.,,,,custodian collective agent,A collective agent who has legal custody of an item.,rdai:P40119,property,rdac:C10003,rdau:P60402,rdai:P40076,rdai:P40020,,Published,,2
has collector collective agent,rdai:collectorCollectiveAgent.en,"Relates an item to a collective agent who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",,,,collector collective agent,"A collective agent who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",rdai:P40121,property,rdac:C10003,rdau:P60066,rdai:P40115,rdai:P40004,,Published,,2
has collection registrar collective agent,rdai:collectionRegistrarCollectiveAgent.en,Relates an item to a collective agent who is a curator who lists or inventories items in a collection aggregate.,,,,collection registrar collective agent,A collective agent who is a curator who lists or inventories items in a collection aggregate.,rdai:P40122,property,rdac:C10003,rdau:P60067,rdai:P40115,rdai:P40005,,Published,,2
has depositor collective agent,rdai:depositorCollectiveAgent.en,Relates an item to a collective agent who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,,,,depositor collective agent,A collective agent who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,rdai:P40123,property,rdac:C10003,rdau:P60068,rdai:P40117,rdai:P40006,,Published,,2
has donor collective agent,rdai:donorCollectiveAgent.en,Relates an item to a collective agent who is a former owner of an item who donates the item to another owner.,,,,donor collective agent,A collective agent who is a former owner of an item who donates the item to another owner.,rdai:P40124,property,rdac:C10003,rdau:P60091,rdai:P40118,rdai:P40007,,Published,,2
has seller collective agent,rdai:sellerCollectiveAgent.en,Relates an item to a collective agent who is a former owner of an item who sells the item to another owner.,,,,seller collective agent,A collective agent who is a former owner of an item who sells the item to another owner.,rdai:P40125,property,rdac:C10003,rdau:P60092,rdai:P40118,rdai:P40008,,Published,,2
has related collective agent of item,rdai:relatedCollectiveAgentOfItem.en,Relates an item to a collective agent who is associated with an item.,,,,related collective agent of item,A collective agent who is associated with an item.,rdai:P40076,property,rdac:C10003,rdau:P61008,rdai:P40072,rdax:P00012,,Published,,1
has honouree collective agent of item,rdai:honoureeCollectiveAgentOfItem.en,Relates an item to a collective agent who is honoured by an item.,,,,honouree collective agent of item,A collective agent who is honoured by an item.,rdai:P40126,property,rdac:C10003,rdau:P60406,rdai:P40076,rdai:P40022,,Published,,2
has restorationist collective agent of item,rdai:restorationistCollectiveAgentOfItem.en,"Relates an item to a collective agent who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",,,,restorationist collective agent of item,"A collective agent who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",rdai:P40127,property,rdac:C10003,rdau:P60450,rdai:P40128,rdai:P40024,,Published,,2
has modifier collective agent,rdai:modifierCollectiveAgent.en,Relates an item to a collective agent that makes changes to an item without creating a new manifestation.,,,,modifier collective agent,A collective agent who makes changes to an item without creating a new manifestation.,rdai:P40128,property,rdac:C10003,rdau:P61031,rdai:P40076,rdai:P40093,,Published,,2
has dedicatee corporate body of item,rdai:dedicateeCorporateBodyOfItem.en,Relates an item to a corporate body to whom an item is dedicated.,,,,dedicatee corporate body of item,A corporate body to whom an item is dedicated.,rdai:P40129,property,rdac:C10003,rdau:P60455,rdai:P40075,rdai:P40113,,Published,,2
has binder corporate body,rdai:binderCorporateBody.en,Relates an item to a corporate body who binds an item.,,,,binder corporate body,A corporate body who binds an item.,rdai:P40130,property,rdac:C10003,rdau:P60458,rdai:P40144,rdai:P40114,,Published,,2
has curator corporate body,rdai:curatorCorporateBody.en,Relates an item to a corporate body who conceives or manages the aggregation of an item in an exhibition or collection.,,,,curator corporate body,A corporate body who conceives or manages the aggregation of an item in an exhibition or collection.,rdai:P40131,property,rdac:C10003,rdau:P60376,rdai:P40075,rdai:P40115,,Published,,2
has illuminator corporate body,rdai:illuminatorCorporateBody.en,"Relates an item to a corporate body who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",,,,illuminator corporate body,"A corporate body who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",rdai:P40132,property,rdac:C10003,rdau:P60421,rdai:P40144,rdai:P40116,,Published,,2
has current owner corporate body,rdai:currentOwnerCorporateBody.en,Relates an item to a corporate body who has current legal possession of an item.,,,,current owner corporate body,A corporate body who has current legal possession of an item.,rdai:P40133,property,rdac:C10003,rdau:P60400,rdai:P40136,rdai:P40117,,Published,,2
has owner corporate body,rdai:ownerCorporateBody.en,Relates an item to a corporate body who has current or former legal possession of an item.,,,,owner corporate body,A corporate body who has current or former legal possession of an item.,rdai:P40136,property,rdac:C10003,rdau:P60404,rdai:P40075,rdai:P40120,,Published,,2
has former owner corporate body,rdai:formerOwnerCorporateBody.en,Relates an item to a corporate body who has former legal possession of an item.,,,,former owner corporate body,A corporate body who has former legal possession of an item.,rdai:P40134,property,rdac:C10003,rdau:P60401,rdai:P40136,rdai:P40118,,Published,,2
has custodian corporate body,rdai:custodianCorporateBody.en,Relates an item to a corporate body who has legal custody of an item.,,,,custodian corporate body,A corporate body who has legal custody of an item.,rdai:P40135,property,rdac:C10003,rdau:P60402,rdai:P40075,rdai:P40119,,Published,,2
has collector corporate body,rdai:collectorCorporateBody.en,"Relates an item to a corporate body who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",,,,collector corporate body,"A corporate body who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",rdai:P40137,property,rdac:C10003,rdau:P60066,rdai:P40131,rdai:P40121,,Published,,2
has collection registrar corporate body,rdai:collectionRegistrarCorporateBody.en,Relates an item to a corporate body who is a curator who lists or inventories items in a collection aggregate.,,,,collection registrar corporate body,A corporate body who is a curator who lists or inventories items in a collection aggregate.,rdai:P40138,property,rdac:C10003,rdau:P60067,rdai:P40131,rdai:P40122,,Published,,2
has depositor corporate body,rdai:depositorCorporateBody.en,Relates an item to a corporate body who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,,,,depositor corporate body,A corporate body who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,rdai:P40139,property,rdac:C10003,rdau:P60068,rdai:P40133,rdai:P40123,,Published,,2
has donor corporate body,rdai:donorCorporateBody.en,Relates an item to a corporate body who is a former owner of an item who donates the item to another owner.,,,,donor corporate body,A corporate body who is a former owner of an item who donates the item to another owner.,rdai:P40140,property,rdac:C10003,rdau:P60091,rdai:P40134,rdai:P40124,,Published,,2
has seller corporate body,rdai:sellerCorporateBody.en,Relates an item to a corporate body who is a former owner of an item who sells the item to another owner.,,,,seller corporate body,A corporate body who is a former owner of an item who sells the item to another owner.,rdai:P40141,property,rdac:C10003,rdau:P60092,rdai:P40134,rdai:P40125,,Published,,2
has related corporate body of item,rdai:relatedCorporateBodyOfItem.en,Relates an item to a corporate body who is associated with an item.,,,,related corporate body of item,A corporate body who is associated with an item.,rdai:P40075,property,rdac:C10003,rdau:P61008,rdai:P40076,rdax:P00009,,Published,,1
has honouree corporate body of item,rdai:honoureeCorporateBodyOfItem.en,Relates an item to a corporate body who is honoured by an item.,,,,honouree corporate body of item,A corporate body who is honoured by an item.,rdai:P40142,property,rdac:C10003,rdau:P60406,rdai:P40075,rdai:P40126,,Published,,2
has restorationist corporate body of item,rdai:restorationistCorporateBodyOfItem.en,"Relates an item to a corporate body who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",,,,restorationist corporate body of item,"A corporate body who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",rdai:P40143,property,rdac:C10003,rdau:P60450,rdai:P40144,rdai:P40127,,Published,,2
has modifier corporate body,rdai:modifierCorporateBody.en,Relates an item to a corporate body that makes changes to an item without creating a new manifestation.,,,,modifier corporate body,A corporate body who makes changes to an item without creating a new manifestation.,rdai:P40144,property,rdac:C10003,rdau:P61031,rdai:P40075,rdai:P40128,,Published,,2
has dedicatee family of item,rdai:dedicateeFamilyOfItem.en,Relates an item to a family to whom an item is dedicated.,,,,dedicatee family of item,A family to whom an item is dedicated.,rdai:P40145,property,rdac:C10003,rdau:P60455,rdai:P40074,rdai:P40113,,Published,,2
has binder family,rdai:binderFamily.en,Relates an item to a family who binds an item.,,,,binder family,A family who binds an item.,rdai:P40146,property,rdac:C10003,rdau:P60458,rdai:P40160,rdai:P40114,,Published,,2
has curator family,rdai:curatorFamily.en,Relates an item to a family who conceives or manages the aggregation of an item in an exhibition or collection.,,,,curator family,A family who conceives or manages the aggregation of an item in an exhibition or collection.,rdai:P40147,property,rdac:C10003,rdau:P60376,rdai:P40074,rdai:P40115,,Published,,2
has illuminator family,rdai:illuminatorFamily.en,"Relates an item to a family who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",,,,illuminator family,"A family who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",rdai:P40148,property,rdac:C10003,rdau:P60421,rdai:P40160,rdai:P40116,,Published,,2
has current owner family,rdai:currentOwnerFamily.en,Relates an item to a family who has current legal possession of an item.,,,,current owner family,A family who has current legal possession of an item.,rdai:P40149,property,rdac:C10003,rdau:P60400,rdai:P40152,rdai:P40117,,Published,,2
has owner family,rdai:ownerFamily.en,Relates an item to a family who has current or former legal possession of an item.,,,,owner family,A family who has current or former legal possession of an item.,rdai:P40152,property,rdac:C10003,rdau:P60404,rdai:P40074,rdai:P40120,,Published,,2
has former owner family,rdai:formerOwnerFamily.en,Relates an item to a family who has former legal possession of an item.,,,,former owner family,A family who has former legal possession of an item.,rdai:P40150,property,rdac:C10003,rdau:P60401,rdai:P40152,rdai:P40118,,Published,,2
has custodian family,rdai:custodianFamily.en,Relates an item to a family who has legal custody of an item.,,,,custodian family,A family who has legal custody of an item.,rdai:P40151,property,rdac:C10003,rdau:P60402,rdai:P40074,rdai:P40119,,Published,,2
has collector family,rdai:collectorFamily.en,"Relates an item to a family who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",,,,collector family,"A family who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",rdai:P40153,property,rdac:C10003,rdau:P60066,rdai:P40147,rdai:P40121,,Published,,2
has collection registrar family,rdai:collectionRegistrarFamily.en,Relates an item to a family who is a curator who lists or inventories items in a collection aggregate.,,,,collection registrar family,A family who is a curator who lists or inventories items in a collection aggregate.,rdai:P40154,property,rdac:C10003,rdau:P60067,rdai:P40147,rdai:P40122,,Published,,2
has depositor family,rdai:depositorFamily.en,Relates an item to a family who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,,,,depositor family,A family who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,rdai:P40155,property,rdac:C10003,rdau:P60068,rdai:P40149,rdai:P40123,,Published,,2
has donor family,rdai:donorFamily.en,Relates an item to a family who is a former owner of an item who donates the item to another owner.,,,,donor family,A family who is a former owner of an item who donates the item to another owner.,rdai:P40156,property,rdac:C10003,rdau:P60091,rdai:P40150,rdai:P40124,,Published,,2
has seller family,rdai:sellerFamily.en,Relates an item to a family who is a former owner of an item who sells the item to another owner.,,,,seller family,A family who is a former owner of an item who sells the item to another owner.,rdai:P40157,property,rdac:C10003,rdau:P60092,rdai:P40150,rdai:P40125,,Published,,2
has related family of item,rdai:relatedFamilyOfItem.en,Relates an item to a family who is associated with an item.,,,,related family of item,A family who is associated with an item.,rdai:P40074,property,rdac:C10003,rdau:P61008,rdai:P40076,rdax:P00008,,Published,,1
has honouree family of item,rdai:honoureeFamilyOfItem.en,Relates an item to a family who is honoured by an item.,,,,honouree family of item,A family who is honoured by an item.,rdai:P40158,property,rdac:C10003,rdau:P60406,rdai:P40074,rdai:P40126,,Published,,2
has restorationist family of item,rdai:restorationistFamilyOfItem.en,"Relates an item to a family who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",,,,restorationist family of item,"A family who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",rdai:P40159,property,rdac:C10003,rdau:P60450,rdai:P40160,rdai:P40127,,Published,,2
has modifier family,rdai:modifierFamily.en,Relates an item to a family that makes changes to an item without creating a new manifestation.,,,,modifier family,A family who makes changes to an item without creating a new manifestation.,rdai:P40160,property,rdac:C10003,rdau:P61031,rdai:P40074,rdai:P40128,,Published,,2
is contained in item,rdai:containedInItem.en,Relates an item to an item that is a larger item of which an item is a discrete component.,,,,contained in item,An item that is a larger item of which an item is a discrete component.,rdai:P40009,property,rdac:C10003,rdau:P60101,rdai:P40046,,,Published,24.5,2
has restriction on access to item,rdai:restrictionOnAccessToItem.en,Relates an item to a limitation placed on access to an item.,,,,restriction on access to item,A limitation placed on access to an item.,rdai:P40047,property,rdac:C10003,rdau:P60496,,,,Published,4.4,6
has restriction on use of item,rdai:restrictionOnUseOfItem.en,"Relates an item to a limitation placed on reproduction, publication, exhibition, etc., of an item.",,,,restriction on use of item,"A limitation placed on reproduction, publication, exhibition, etc., of an item.",rdai:P40048,property,rdac:C10003,rdau:P60497,,,,Published,4.5,6
has electronic reproduction of item,rdai:electronicReproductionOfItem.en,Relates an item to a manifestation in a digital format that is the result of the transfer of an item in analog format.,,electronic reproduction (item),,electronic reproduction of item,A manifestation in a digital format that is the result of the transfer of an item in analog format.,rdai:P40088,property,rdac:C10003,rdau:P60083,rdai:P40092,,,Published,,2
has digital transfer of item,rdai:digitalTransferOfItem.en,Relates an item to a manifestation in a digital format that results from the transfer of an item in another digital format.,,digital transfer (item),,digital transfer of item,A manifestation in a digital format that results from the transfer of an item in another digital format.,rdai:P40087,property,rdac:C10003,rdau:P60200,rdai:P40092,,,Published,,2
has preservation facsimile of item,rdai:preservationFacsimileOfItem.en,"Relates an item to a manifestation that consists of an exact reproduction of an item on preservation-quality media, such as acid-free permanent or archival paper.",,preservation facsimile (item),,preservation facsimile of item,"A manifestation that consists of an exact reproduction of an item on preservation-quality media, such as acid-free permanent or archival paper.",rdai:P40090,property,rdac:C10003,rdau:P60179,rdai:P40089,,,Published,,2
has facsimile of item,rdai:facsimileOfItem.en,Relates an item to a manifestation that exactly reproduces an item that exemplifies another manifestation.,,facsimile (item),,facsimile of item,A manifestation that exactly reproduces an item that exemplifies another manifestation.,rdai:P40089,property,rdac:C10003,rdau:P60217,rdai:P40092,,,Published,,2
is reprinted as item,rdai:reprintedAsItem.en,Relates an item to a manifestation that is a reissue of an item that exemplifies another printed manifestation.,,,,reprinted as item,A manifestation that is a reissue of an item that exemplifies another printed manifestation.,rdai:P40091,property,rdac:C10003,rdau:P60271,rdai:P40092,,,Published,,2
has related manifestation of item,rdai:relatedManifestationOfItem.en,Relates an item to a manifestation that is associated with an item.,,,,related manifestation of item,A manifestation that is associated with an item.,rdai:P40071,property,rdac:C10003,rdau:P60313,rdai:P40068,rdax:P00004,,Published,,1
has manifestation exemplified,rdai:manifestationExemplified.en,Relates an item to a manifestation that is exemplified by an item.,,,,manifestation exemplified,A manifestation that is exemplified by an item.,rdai:P40049,property,rdac:C10003,,rdai:P40071,,,Published,17.12,3
is reproduced as item,rdai:reproducedAsItem.en,Relates an item to a manifestation that reproduces an item that exemplifies another manifestation.,,,,reproduced as item,A manifestation that reproduces an item that exemplifies another manifestation.,rdai:P40092,property,rdac:C10003,rdau:P60272,rdai:P40071,,,Published,,2
has modification of item,rdai:modificationOfItem.en,Relates an item to a modification that is specific to an item and is assumed not to apply to other items exemplifying the same manifestation.,,note on item-specific carrier characteristic,,modification of item,A modification that is specific to an item and is assumed not to apply to other items exemplifying the same manifestation.,rdai:P40003,property,rdac:C10003,rdau:P60056,rdai:P40028,,,Published,3.22,6
has related nomen of item,rdai:relatedNomenOfItem.en,Relates an item to a nomen that is associated with an item.,,,,related nomen of item,A nomen that is associated with an item.,rdai:P40079,property,rdac:C10003,rdau:P61023,rdai:P40068,rdax:P00013,,Published,,1
has appellation of item,rdai:appellationOfItem.en,Relates an item to a nomen that is used within a given scheme or context to refer to an item.,,,,appellation of item,A nomen that is used within a given scheme or context to refer to an item.,rdai:P40081,property,rdac:C10003,rdau:P60909,rdai:P40079,rdax:P00017,,Published,,3
has note on dimensions of item,rdai:noteOnDimensionsOfItem.en,Relates an item to a note on item that provides information on the dimensions of an item.,,,,note on dimensions of item,A note on item that provides information on the dimensions of an item.,rdai:P40010,property,rdac:C10003,rdau:P60133,rdai:P40028,,,Published,3.22.3,6
has note on extent of item,rdai:noteOnExtentOfItem.en,Relates an item to a note on item that provides information on the extent of an item.,,,,note on extent of item,A note on item that provides information on the extent of an item.,rdai:P40011,property,rdac:C10003,rdau:P60134,rdai:P40028,,,Published,3.22.2,6
has dedicatee person of item,rdai:dedicateePersonOfItem.en,Relates an item to a person to whom an item is dedicated.,,,,dedicatee person of item,A person to whom an item is dedicated.,rdai:P40097,property,rdac:C10003,rdau:P60455,rdai:P40073,rdai:P40025,,Published,,2
has annotator,rdai:annotator.en,Relates an item to a person who adds notes and other information to an item by hand.,,,,annotator,A person who adds notes and other information to an item by hand.,rdai:P40015,property,rdac:C10003,rdau:P60464,rdai:P40112,,,Published,18.5,2
has binder person,rdai:binderPerson.en,Relates an item to a person who binds an item.,,,,binder person,A person who binds an item.,rdai:P40098,property,rdac:C10003,rdau:P60458,rdai:P40112,rdai:P40013,,Published,,2
has curator person,rdai:curatorPerson.en,Relates an item to a person who conceives or manages the aggregation of an item in an exhibition or collection.,,,,curator person,A person who conceives or manages the aggregation of an item in an exhibition or collection.,rdai:P40099,property,rdac:C10003,rdau:P60376,rdai:P40073,rdai:P40017,,Published,,2
has illuminator person,rdai:illuminatorPerson.en,"Relates an item to a person who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",,,,illuminator person,"A person who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",rdai:P40100,property,rdac:C10003,rdau:P60421,rdai:P40112,rdai:P40012,,Published,,2
has current owner person,rdai:currentOwnerPerson.en,Relates an item to a person who has current legal possession of an item.,,,,current owner person,A person who has current legal possession of an item.,rdai:P40101,property,rdac:C10003,rdau:P60400,rdai:P40104,rdai:P40018,,Published,,2
has owner person,rdai:ownerPerson.en,Relates an item to a person who has current or former legal possession of an item.,,,,owner person,A person who has current or former legal possession of an item.,rdai:P40104,property,rdac:C10003,rdau:P60404,rdai:P40073,rdai:P40021,,Published,,2
has former owner person,rdai:formerOwnerPerson.en,Relates an item to a person who has former legal possession of an item.,,,,former owner person,A person who has former legal possession of an item.,rdai:P40102,property,rdac:C10003,rdau:P60401,rdai:P40104,rdai:P40019,,Published,,2
has custodian person,rdai:custodianPerson.en,Relates an item to a person who has legal custody of an item.,,,,custodian person,A person who has legal custody of an item.,rdai:P40103,property,rdac:C10003,rdau:P60402,rdai:P40073,rdai:P40020,,Published,,2
