*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],*status,has element type
has note on nomen,rdan:noteOnNomen.en,Relates a nomen to a broad unstructured description of one or more attributes of a nomen.,,,note on nomen,A broad unstructured description of one or more attributes of a nomen.,rdan:P80071,property,rdac:C10012,rdau:P60936,rdax:P00015,,Published,6
has undifferentiated name indicator,rdan:undifferentiatedNameIndicator.en,Relates a nomen to a categorization indicating that a nomen is insufficient to differentiate between two or more entities.,,,undifferentiated name indicator,A categorization indicating that a nomen is insufficient to differentiate between two or more entities.,rdan:P80169,property,rdac:C10012,rdau:P60046,,,Published,3
has intended audience of nomen,rdan:intendedAudienceOfNomen.en,Relates a nomen to a class of users for which a nomen is intended.,,,intended audience of nomen,A class of users for which a nomen is intended.,rdan:P80065,property,rdac:C10012,,,,Published,5
is assigned by collective agent,rdan:assignedByCollectiveAgent.en,Relates a nomen to a collective agent who assigns a nomen to an entity.,,,assigned by collective agent,A collective agent who assigns a nomen to an entity.,rdan:P80074,property,rdac:C10012,rdau:P60943,rdan:P80006,rdan:P80073,Published,2
is variant name of collective agent of,rdan:variantNameOfCollectiveAgentOf.en,Relates a nomen to a collective agent who has a name of collective agent that is not selected for preference in a specific application or context.,,,variant name of collective agent of,A collective agent who has a name of collective agent that is not selected for preference in a specific application or context.,rdan:P80143,property,rdac:C10012,rdau:P60921,rdan:P80053,rdan:P80142,Published,2
is preferred name of collective agent of,rdan:preferredNameOfCollectiveAgentOf.en,Relates a nomen to a collective agent who has a name of collective agent that is selected for preference in a specific application or context.,,,preferred name of collective agent of,A collective agent who has a name of collective agent that is selected for preference in a specific application or context.,rdan:P80141,property,rdac:C10012,rdau:P60927,rdan:P80053,rdan:P80140,Published,2
is variant access point for collective agent of,rdan:variantAccessPointForCollectiveAgentOf.en,Relates a nomen to a collective agent who has an access point for collective agent that is not selected for preference in a specific vocabulary encoding scheme.,,,variant access point for collective agent of,A collective agent who has an access point for collective agent that is not selected for preference in a specific vocabulary encoding scheme.,rdan:P80102,property,rdac:C10012,rdau:P61182,rdan:P80019,rdan:P80100,Published,2
is authorized access point for collective agent of,rdan:authorizedAccessPointForCollectiveAgentOf.en,Relates a nomen to a collective agent who has an access point for collective agent that is selected for preference in a specific vocabulary encoding scheme.,,,authorized access point for collective agent of,A collective agent who has an access point for collective agent that is selected for preference in a specific vocabulary encoding scheme.,rdan:P80101,property,rdac:C10012,rdau:P61174,rdan:P80019,rdan:P80099,Published,2
is access point for collective agent of,rdan:accessPointForCollectiveAgentOf.en,Relates a nomen to a collective agent who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,access point for collective agent of,A collective agent who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdan:P80019,property,rdac:C10012,rdau:P61163,rdan:P80029,rdan:P80018,Published,2
is name of collective agent of,rdan:nameOfCollectiveAgentOf.en,Relates a nomen to a collective agent who has an appellation of collective agent in natural language and phrasing used in common discourse.,,,name of collective agent of,A collective agent who has an appellation of collective agent in natural language and phrasing used in common discourse.,rdan:P80053,property,rdac:C10012,rdau:P60920,rdan:P80029,rdan:P80052,Published,2
is identifier for collective agent of,rdan:identifierForCollectiveAgentOf.en,Relates a nomen to a collective agent who has an appellation of collective agent that is a reference code taken from a vocabulary encoding scheme.,,,identifier for collective agent of,A collective agent who has an appellation of collective agent that is a reference code taken from a vocabulary encoding scheme.,rdan:P80034,property,rdac:C10012,rdau:P60937,rdan:P80029,rdan:P80033,Published,2
has related collective agent of nomen,rdan:relatedCollectiveAgentOfNomen.en,Relates a nomen to a collective agent who is associated with a nomen.,,,related collective agent of nomen,A collective agent who is associated with a nomen.,rdan:P80006,property,rdac:C10012,rdau:P61027,rdan:P80005,rdax:P00012,Published,1
is appellation of collective agent of,rdan:appellationOfCollectiveAgentOf.en,Relates a nomen to a collective agent who is referred to by a nomen used within a given scheme or context.,,,appellation of collective agent of,A collective agent who is referred to by a nomen used within a given scheme or context.,rdan:P80029,property,rdac:C10012,rdau:P60911,rdan:P80006,rdan:P80028,Published,2
is assigned by corporate body,rdan:assignedByCorporateBody.en,Relates a nomen to a corporate body who assigns a nomen to an entity.,,,assigned by corporate body,A corporate body who assigns a nomen to an entity.,rdan:P80075,property,rdac:C10012,rdau:P60943,rdan:P80013,rdan:P80074,Published,2
is variant name of corporate body of,rdan:variantNameOfCorporateBodyOf.en,Relates a nomen to a corporate body who has a name of corporate body that is not selected for preference in a specific application or context.,,,variant name of corporate body of,A corporate body who has a name of corporate body that is not selected for preference in a specific application or context.,rdan:P80147,property,rdac:C10012,rdau:P60921,rdan:P80054,rdan:P80143,Published,2
is preferred name of corporate body of,rdan:preferredNameOfCorporateBodyOf.en,Relates a nomen to a corporate body who has a name of corporate body that is selected for preference in a specific application or context.,,,preferred name of corporate body of,A corporate body who has a name of corporate body that is selected for preference in a specific application or context.,rdan:P80144,property,rdac:C10012,rdau:P60927,rdan:P80054,rdan:P80141,Published,2
is variant access point for corporate body of,rdan:variantAccessPointForCorporateBodyOf.en,Relates a nomen to a corporate body who has an access point for corporate body that is not selected for preference in a specific vocabulary encoding scheme.,,,variant access point for corporate body of,A corporate body who has an access point for corporate body that is not selected for preference in a specific vocabulary encoding scheme.,rdan:P80104,property,rdac:C10012,rdau:P61182,rdan:P80020,rdan:P80102,Published,2
is authorized access point for corporate body of,rdan:authorizedAccessPointForCorporateBodyOf.en,Relates a nomen to a corporate body who has an access point for corporate body that is selected for preference in a specific vocabulary encoding scheme.,,,authorized access point for corporate body of,A corporate body who has an access point for corporate body that is selected for preference in a specific vocabulary encoding scheme.,rdan:P80103,property,rdac:C10012,rdau:P61174,rdan:P80020,rdan:P80101,Published,2
is access point for corporate body of,rdan:accessPointForCorporateBodyOf.en,Relates a nomen to a corporate body who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,access point for corporate body of,A corporate body who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdan:P80020,property,rdac:C10012,rdau:P61163,rdan:P80030,rdan:P80019,Published,2
is name of corporate body of,rdan:nameOfCorporateBodyOf.en,Relates a nomen to a corporate body who has an appellation of corporate body in natural language and phrasing used in common discourse.,,,name of corporate body of,A corporate body who has an appellation of corporate body in natural language and phrasing used in common discourse.,rdan:P80054,property,rdac:C10012,rdau:P60920,rdan:P80030,rdan:P80053,Published,2
is identifier for corporate body of,rdan:identifierForCorporateBodyOf.en,Relates a nomen to a corporate body who has an appellation of corporate body that is a reference code taken from a vocabulary encoding scheme.,,,identifier for corporate body of,A corporate body who has an appellation of corporate body that is a reference code taken from a vocabulary encoding scheme.,rdan:P80035,property,rdac:C10012,rdau:P60937,rdan:P80030,rdan:P80034,Published,2
has related corporate body of nomen,rdan:relatedCorporateBodyOfNomen.en,Relates a nomen to a corporate body who is associated with a nomen.,,,related corporate body of nomen,A corporate body who is associated with a nomen.,rdan:P80013,property,rdac:C10012,rdau:P61027,rdan:P80006,rdax:P00009,Published,1
is appellation of corporate body of,rdan:appellationOfCorporateBodyOf.en,Relates a nomen to a corporate body who is referred to by a nomen used within a given scheme or context.,,,appellation of corporate body of,A corporate body who is referred to by a nomen used within a given scheme or context.,rdan:P80030,property,rdac:C10012,rdau:P60911,rdan:P80013,rdan:P80029,Published,2
has date of usage,rdan:dateOfUsage.en,Relates a nomen to a timespan that is a date or range of dates that is associated with the use of an appellation of an RDA entity.,,,date of usage,A timespan that is a date or range of dates that is associated with the use of an appellation of an RDA entity.,rdan:P80166,property,rdac:C10012,rdau:P60075,rdan:P80008,,Published,3
is assigned by family,rdan:assignedByFamily.en,Relates a nomen to a family who assigns a nomen to an entity.,,,assigned by family,A family who assigns a nomen to an entity.,rdan:P80076,property,rdac:C10012,rdau:P60943,rdan:P80012,rdan:P80074,Published,2
is variant name of family of,rdan:variantNameOfFamilyOf.en,Relates a nomen to a family who has a name of family that is not selected for preference in a specific application or context.,,,variant name of family of,A family who has a name of family that is not selected for preference in a specific application or context.,rdan:P80148,property,rdac:C10012,rdau:P60921,rdan:P80055,rdan:P80143,Published,2
is preferred name of family of,rdan:preferredNameOfFamilyOf.en,Relates a nomen to a family who has a name of family that is selected for preference in a specific application or context.,,,preferred name of family of,A family who has a name of family that is selected for preference in a specific application or context.,rdan:P80145,property,rdac:C10012,rdau:P60927,rdan:P80055,rdan:P80141,Published,2
is variant access point for family of,rdan:variantAccessPointForFamilyOf.en,Relates a nomen to a family who has an access point for family that is not selected for preference in a specific vocabulary encoding scheme.,,,variant access point for family of,A family who has an access point for family that is not selected for preference in a specific vocabulary encoding scheme.,rdan:P80106,property,rdac:C10012,rdau:P61182,rdan:P80021,rdan:P80102,Published,2
is authorized access point for family of,rdan:authorizedAccessPointForFamilyOf.en,Relates a nomen to a family who has an access point for family that is selected for preference in a specific vocabulary encoding scheme.,,,authorized access point for family of,A family who has an access point for family that is selected for preference in a specific vocabulary encoding scheme.,rdan:P80105,property,rdac:C10012,rdau:P61174,rdan:P80021,rdan:P80101,Published,2
is access point for family of,rdan:accessPointForFamilyOf.en,Relates a nomen to a family who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,access point for family of,A family who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdan:P80021,property,rdac:C10012,rdau:P61163,rdan:P80031,rdan:P80019,Published,2
is name of family of,rdan:nameOfFamilyOf.en,Relates a nomen to a family who has an appellation of family in natural language and phrasing used in common discourse.,,,name of family of,A family who has an appellation of family in natural language and phrasing used in common discourse.,rdan:P80055,property,rdac:C10012,rdau:P60920,rdan:P80031,rdan:P80053,Published,2
is identifier for family of,rdan:identifierForFamilyOf.en,Relates a nomen to a family who has an appellation of family that is a reference code taken from a vocabulary encoding scheme.,,,identifier for family of,A family who has an appellation of family that is a reference code taken from a vocabulary encoding scheme.,rdan:P80036,property,rdac:C10012,rdau:P60937,rdan:P80031,rdan:P80034,Published,2
has related family of nomen,rdan:relatedFamilyOfNomen.en,Relates a nomen to a family who is associated with a nomen.,,,related family of nomen,A family who is associated with a nomen.,rdan:P80012,property,rdac:C10012,rdau:P61027,rdan:P80006,rdax:P00008,Published,1
is appellation of family of,rdan:appellationOfFamilyOf.en,Relates a nomen to a family who is referred to by a nomen used within a given scheme or context.,,,appellation of family of,A family who is referred to by a nomen used within a given scheme or context.,rdan:P80031,property,rdac:C10012,rdau:P60911,rdan:P80012,rdan:P80029,Published,2
has language of nomen,rdan:languageOfNomen.en,Relates a nomen to a language of an appellation.,,,language of nomen,A language of an appellation.,rdan:P80066,property,rdac:C10012,,,,Published,5
is publisher number for notated music of,rdan:publisherNumberForNotatedMusicOf.en,"Relates a nomen to a manifestation of a notated music expression that has an identifier for manifestation other than a plate number for notated music, assigned by a publisher.","The number normally appears only on the title page, the cover, or the first page of music, and sometimes includes initials, abbreviations, or words identifying the publisher.",,publisher number for notated music of,"A manifestation of a notated music expression that has an identifier for manifestation other than a plate number for notated music, assigned by a publisher.",rdan:P80156,property,rdac:C10012,rdau:P60989,rdan:P80048,,Published,2
is plate number for notated music of,rdan:plateNumberForNotatedMusicOf.en,"Relates a nomen to a manifestation of a notated music expression that has an identifier for manifestation other than a publisher number for notated music, assigned by a publisher to indicate the printing plate used in the printing process.","The number normally appears at the bottom of each page, and sometimes on the title page. The number may include initials, abbreviations, or words identifying the publisher, or be followed by a number corresponding to the number of pages or plates or a number corresponding to an individual page or plate.",,plate number for notated music of,"A manifestation of a notated music expression that has an identifier for manifestation other than a publisher number for notated music, assigned by a publisher to indicate the printing plate used in the printing process.",rdan:P80155,property,rdac:C10012,rdau:P60988,rdan:P80048,,Published,2
is title proper of subseries of (Deprecated),rdan:titleProperOfSubseriesOf.en,Relates a nomen to a manifestation of an issue of a subseries that has a name of series appearing on it. (Deprecated),,,title proper of subseries of (Deprecated),A manifestation of an issue of a subseries that has a name of series appearing on it. (Deprecated),rdan:P80126,property,rdac:C10012,rdau:P60959,rdan:P80125,,Deprecated,2
is name of agent of manifestation of,rdan:nameOfAgentOfManifestationOf.en,"Relates a nomen to a manifestation that has a name of agent who is responsible for distribution, printing, duplication, casting, publication, release, issue, etc., or inscription, fabrication, construction, etc.",,,name of agent of manifestation of,"A manifestation that has a name of agent who is responsible for distribution, printing, duplication, casting, publication, release, issue, etc., or inscription, fabrication, construction, etc.",rdan:P80114,property,rdac:C10012,,rdan:P80003,rdan:P80052,Published,2
is parallel name of distributor of,rdan:parallelNameOfDistributorOf.en,Relates a nomen to a manifestation that has a name of distributor in another language or script.,,,parallel name of distributor of,A manifestation that has a name of distributor in another language or script.,rdan:P80127,property,rdac:C10012,rdau:P60946,rdan:P80115,,Published,2
is parallel name of manufacturer of,rdan:parallelNameOfManufacturerOf.en,Relates a nomen to a manifestation that has a name of manufacturer in another language or script.,,,parallel name of manufacturer of,A manifestation that has a name of manufacturer in another language or script.,rdan:P80128,property,rdac:C10012,rdau:P60948,rdan:P80116,,Published,2
is parallel name of producer of,rdan:parallelNameOfProducerOf.en,Relates a nomen to a manifestation that has a name of producer in another language or script.,,,parallel name of producer of,A manifestation that has a name of producer in another language or script.,rdan:P80129,property,rdac:C10012,rdau:P60949,rdan:P80117,,Published,2
is parallel name of publisher of,rdan:parallelNameOfPublisherOf.en,Relates a nomen to a manifestation that has a name of publisher in another language or script.,,,parallel name of publisher of,A manifestation that has a name of publisher in another language or script.,rdan:P80130,property,rdac:C10012,rdau:P60950,rdan:P80118,,Published,2
is abbreviated title of,rdan:abbreviatedTitleOf.en,Relates a nomen to a manifestation that has a title of manifestation that has been abbreviated for purposes of indexing or identification.,,,abbreviated title of,A manifestation that has a title of manifestation that has been abbreviated for purposes of indexing or identification.,rdan:P80057,property,rdac:C10012,rdau:P61111,rdan:P80111,,Published,2
is variant title of manifestation of,rdan:variantTitleOfManifestationOf.en,Relates a nomen to a manifestation that has a title of manifestation that is not selected for preference in a specific application or context.,,,variant title of manifestation of,A manifestation that has a title of manifestation that is not selected for preference in a specific application or context.,rdan:P80111,property,rdac:C10012,rdau:P60925,rdan:P80062,rdan:P80164,Published,2
is title proper of,rdan:titleProperOf.en,Relates a nomen to a manifestation that has a title of manifestation that is selected for preference in a specific application or context.,,,title proper of,A manifestation that has a title of manifestation that is selected for preference in a specific application or context.,rdan:P80063,property,rdac:C10012,rdau:P60957,rdan:P80062,,Published,2
is parallel title of series of,rdan:parallelTitleOfSeriesOf.en,Relates a nomen to a manifestation that has a title of series in another language or script.,,,parallel title of series of,A manifestation that has a title of series in another language or script.,rdan:P80136,property,rdac:C10012,,rdan:P80125,rdan:P80135,Published,2
is parallel title proper of,rdan:parallelTitleProperOf.en,Relates a nomen to a manifestation that has a title proper in another language or script.,,,parallel title proper of,A manifestation that has a title proper in another language or script.,rdan:P80135,property,rdac:C10012,rdau:P61116,rdan:P80063,,Published,2
is parallel title proper of subseries of (Deprecated),rdan:parallelTitleProperOfSubseriesOf.en,Relates a nomen to a manifestation that has a title proper of subseries in another language or script. (Deprecated),,,parallel title proper of subseries of (Deprecated),A manifestation that has a title proper of subseries in another language or script. (Deprecated),rdan:P80137,property,rdac:C10012,,rdan:P80126,rdan:P80136,Deprecated,2
is title of series of,rdan:titleOfSeriesOf.en,Relates a nomen to a manifestation that has a title that identifies a series to which a manifestation belongs.,,,title of series of,A manifestation that has a title that identifies a series to which a manifestation belongs.,rdan:P80125,property,rdac:C10012,rdau:P60958,rdan:P80062,,Published,2
is variant access point for manifestation of,rdan:variantAccessPointForManifestationOf.en,Relates a nomen to a manifestation that has an access point for manifestation that is not selected for preference in a specific vocabulary encoding scheme.,,,variant access point for manifestation of,A manifestation that has an access point for manifestation that is not selected for preference in a specific vocabulary encoding scheme.,rdan:P80090,property,rdac:C10012,rdau:P61184,rdan:P80024,rdan:P80165,Published,2
is authorized access point for manifestation of,rdan:authorizedAccessPointForManifestationOf.en,Relates a nomen to a manifestation that has an access point for manifestation that is selected for preference in a specific vocabulary encoding scheme.,,,authorized access point for manifestation of,A manifestation that has an access point for manifestation that is selected for preference in a specific vocabulary encoding scheme.,rdan:P80089,property,rdac:C10012,rdau:P61176,rdan:P80024,rdan:P80162,Published,2
is access point for manifestation of,rdan:accessPointForManifestationOf.en,Relates a nomen to a manifestation that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,access point for manifestation of,A manifestation that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdan:P80024,property,rdac:C10012,rdau:P61167,rdan:P80040,rdan:P80159,Published,2
is title of manifestation of,rdan:titleOfManifestationOf.en,Relates a nomen to a manifestation that has an appellation of manifestation in natural language and phrasing used in common discourse.,,,title of manifestation of,A manifestation that has an appellation of manifestation in natural language and phrasing used in common discourse.,rdan:P80062,property,rdac:C10012,rdau:P60912,rdan:P80040,rdan:P80161,Published,2
is identifier for manifestation of,rdan:identifierForManifestationOf.en,Relates a nomen to a manifestation that has an appellation of manifestation that is a reference code taken from a vocabulary encoding scheme.,,,identifier for manifestation of,A manifestation that has an appellation of manifestation that is a reference code taken from a vocabulary encoding scheme.,rdan:P80048,property,rdac:C10012,rdau:P60938,rdan:P80040,rdan:P80160,Published,2
is fingerprint of,rdan:fingerprintOf.en,Relates a nomen to a manifestation that has an identifier for manifestation that consists of a group of characters from specified locations in a manifestation combined with a date of publication or other element.,,,fingerprint of,A manifestation that has an identifier for manifestation that consists of a group of characters from specified locations in a manifestation combined with a date of publication or other element.,rdan:P80138,property,rdac:C10012,rdau:P61158,rdan:P80048,,Published,2
has related manifestation of nomen,rdan:relatedManifestationOfNomen.en,Relates a nomen to a manifestation that is associated with a nomen.,,,related manifestation of nomen,A manifestation that is associated with a nomen.,rdan:P80003,property,rdac:C10012,rdau:P61030,rdan:P80010,rdax:P00004,Published,1
is name of distributor of,rdan:nameOfDistributorOf.en,Relates a nomen to a manifestation that is published that has a name of agent who is responsible for distribution.,,,name of distributor of,A manifestation that is published that has a name of agent who is responsible for distribution.,rdan:P80115,property,rdac:C10012,rdau:P60946,rdan:P80114,,Published,2
is name of manufacturer of,rdan:nameOfManufacturerOf.en,"Relates a nomen to a manifestation that is published that has a name of agent who is responsible for printing, duplication, casting, etc.",,,name of manufacturer of,"A manifestation that is published that has a name of agent who is responsible for printing, duplication, casting, etc.",rdan:P80116,property,rdac:C10012,rdau:P60948,rdan:P80114,,Published,2
is name of publisher of,rdan:nameOfPublisherOf.en,Relates a nomen to a manifestation that is published that has a name of agent who is responsible for publication.,Publication includes release and issuance.,,name of publisher of,A manifestation that is published that has a name of agent who is responsible for publication.,rdan:P80118,property,rdac:C10012,rdau:P60950,rdan:P80114,,Published,2
is appellation of manifestation of,rdan:appellationOfManifestationOf.en,Relates a nomen to a manifestation that is referred to by a nomen used within a given scheme or context.,,,appellation of manifestation of,A manifestation that is referred to by a nomen used within a given scheme or context.,rdan:P80040,property,rdac:C10012,rdau:P60911,rdan:P80003,rdan:P80112,Published,2
is name of producer of,rdan:nameOfProducerOf.en,"Relates a nomen to a manifestation that is unpublished that has a name of agent who is responsible for inscription, fabrication, construction, etc.",,,name of producer of,"A manifestation that is unpublished that has a name of agent who is responsible for inscription, fabrication, construction, etc.",rdan:P80117,property,rdac:C10012,rdau:P60949,rdan:P80114,,Published,2
is numeric designation of musical work of,rdan:numericDesignationOfMusicalWorkOf.en,"Relates a nomen to a work that is a musical work that has an identifier for work that is a serial number, opus number, or thematic index number assigned to a musical work by a composer, publisher, or a musicologist. ",,,numeric designation of musical work of,"A work that is a musical work that has an identifier for work that is a serial number, opus number, or thematic index number assigned to a musical work by a composer, publisher, or a musicologist. ",rdan:P80119,property,rdac:C10012,rdau:P60963,rdan:P80049,,Published,2
is part of nomen,rdan:partOfNomen.en,Relates a nomen to a nomen that has another nomen as a discrete component.,,,part of nomen,A nomen that has another nomen as a discrete component.,rdan:P80059,property,rdac:C10012,rdau:P61115,rdan:P80009,,Published,2
has part nomen,rdan:partNomen.en,Relates a nomen to a nomen that is a discrete component of another nomen.,,,part nomen,A nomen that is a discrete component of another nomen.,rdan:P80058,property,rdac:C10012,rdau:P61114,rdan:P80009,,Published,2
is equivalent to,rdan:equivalentTo.en,Relates a nomen to a nomen that is an appellation of the same entity as another nomen.,,,equivalent to,A nomen that is an appellation of the same entity as another nomen.,rdan:P80113,property,rdac:C10012,rdau:P61123,rdan:P80009,,Published,2
has related nomen of nomen,rdan:relatedNomenOfNomen.en,Relates a nomen to a nomen that is associated with a nomen.,,,related nomen of nomen,A nomen that is associated with a nomen.,rdan:P80009,property,rdac:C10012,rdau:P61026,rdan:P80010,rdax:P00013,Published,1
has derivation,rdan:derivation.en,Relates a nomen to a nomen that is based on another nomen.,,,derivation,A nomen that is based on another nomen.,rdan:P80060,property,rdac:C10012,rdau:P61121,rdan:P80009,,Published,2
is derivation of,rdan:derivationOf.en,Relates a nomen to a nomen that is used as the basis of another nomen.,,,derivation of,A nomen that is used as the basis of another nomen.,rdan:P80061,property,rdac:C10012,rdau:P61122,rdan:P80009,,Published,2
is alternate identity of person of,rdan:alternateIdentityOfPersonOf.en,Relates a nomen to a person that has an appellation of person that is a pseudonym or other assumed identity.,,,alternate identity of person of,A person that has an appellation of person that is a pseudonym or other assumed identity.,rdan:P80157,property,rdac:C10012,rdau:P61112,rdan:P80032,,Published,2
is real identity of person of,rdan:realIdentityOfPersonOf.en,Relates a nomen to a person that has an appellation of person that is a real identity.,,,real identity of person of,A person that has an appellation of person that is a real identity.,rdan:P80158,property,rdac:C10012,rdau:P61113,rdan:P80032,,Published,2
is assigned by person,rdan:assignedByPerson.en,Relates a nomen to a person who assigns a nomen to an entity.,,,assigned by person,A person who assigns a nomen to an entity.,rdan:P80077,property,rdac:C10012,rdau:P60943,rdan:P80011,rdan:P80073,Published,2
is fuller form of name of,rdan:fullerFormOfNameOf.en,"Relates a nomen to a person who has a fuller form of a name or part of a name represented by an initial, abbreviation, or shortened or otherwise modified form.",,,fuller form of name of,"A person who has a fuller form of a name or part of a name represented by an initial, abbreviation, or shortened or otherwise modified form.",rdan:P80177,property,rdac:C10012,,rdan:P80056,,Published,2
is variant name of person of,rdan:variantNameOfPersonOf.en,Relates a nomen to a person who has a name of person that is not selected for preference in a specific application or context.,,,variant name of person of,A person who has a name of person that is not selected for preference in a specific application or context.,rdan:P80149,property,rdac:C10012,rdau:P60921,rdan:P80056,rdan:P80142,Published,2
is preferred name of person of,rdan:preferredNameOfPersonOf.en,Relates a nomen to a person who has a name of person that is selected for preference in a specific application or context.,,,preferred name of person of,A person who has a name of person that is selected for preference in a specific application or context.,rdan:P80146,property,rdac:C10012,rdau:P60927,rdan:P80056,rdan:P80140,Published,2
is variant access point for person of,rdan:variantAccessPointForPersonOf.en,Relates a nomen to a person who has an access point for person that is not selected for preference in a specific vocabulary encoding scheme.,,,variant access point for person of,A person who has an access point for person that is not selected for preference in a specific vocabulary encoding scheme.,rdan:P80108,property,rdac:C10012,rdau:P61182,rdan:P80022,rdan:P80100,Published,2
is authorized access point for person of,rdan:authorizedAccessPointForPersonOf.en,Relates a nomen to a person who has an access point for person that is selected for preference in a specific vocabulary encoding scheme.,,,authorized access point for person of,A person who has an access point for person that is selected for preference in a specific vocabulary encoding scheme.,rdan:P80107,property,rdac:C10012,rdau:P61174,rdan:P80022,rdan:P80099,Published,2
is access point for person of,rdan:accessPointForPersonOf.en,Relates a nomen to a person who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,access point for person of,A person who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdan:P80022,property,rdac:C10012,rdau:P61163,rdan:P80032,rdan:P80018,Published,2
is name of person of,rdan:nameOfPersonOf.en,Relates a nomen to a person who has an appellation of person in natural language and phrasing used in common discourse.,,,name of person of,A person who has an appellation of person in natural language and phrasing used in common discourse.,rdan:P80056,property,rdac:C10012,rdau:P60920,rdan:P80032,rdan:P80052,Published,2
is identifier for person of,rdan:identifierForPersonOf.en,Relates a nomen to a person who has an appellation of person that is a reference code taken from a vocabulary encoding scheme.,,,identifier for person of,A person who has an appellation of person that is a reference code taken from a vocabulary encoding scheme.,rdan:P80037,property,rdac:C10012,rdau:P60937,rdan:P80032,rdan:P80033,Published,2
has related person of nomen,rdan:relatedPersonOfNomen.en,Relates a nomen to a person who is associated with a nomen.,,,related person of nomen,A person who is associated with a nomen.,rdan:P80011,property,rdac:C10012,rdau:P61027,rdan:P80005,rdax:P00007,Published,1
is appellation of person of,rdan:appellationOfPersonOf.en,Relates a nomen to a person who is referred to by a nomen used within a given scheme or context.,,,appellation of person of,A person who is referred to by a nomen used within a given scheme or context.,rdan:P80032,property,rdac:C10012,rdau:P60911,rdan:P80011,rdan:P80028,Published,2
is surname of,rdan:surnameOf.en,Relates a nomen to a person who uses a family name.,,,surname of,A person who uses a family name.,rdan:P80176,property,rdac:C10012,,rdan:P80056,,Published,2
