*label_en,lexicalAlias_en,description[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,hasUnconstrained,subPropertyOf[0],*status,instructionNumber,has element type
has access point for RDA entity,rdax:accessPointForRDAEntity.en,Relates an RDA entity to a nomen that is an appellation of RDA entity in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,,,access point for RDA entity,A nomen that is an appellation of RDA entity in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdax:P00016,property,rdac:C10013,rdau:P60906,rdax:P00017,Published,,3
has appellation of RDA entity,rdax:appellationOfRDAEntity.en,Relates an RDA entity to a nomen that is used within a given scheme or context to refer to an RDA entity.,,,,,appellation of RDA entity,A nomen that is used within a given scheme or context to refer to an RDA entity.,rdax:P00017,property,rdac:C10013,rdau:P60909,rdax:P00013,Published,,3
has authorized access point for RDA entity,rdax:authorizedAccessPointForRDAEntity.en,Relates an RDA entity to a nomen that is an access point for RDA entity that is selected for preference in a specific vocabulary encoding scheme.,,,,,authorized access point for RDA entity,A nomen that is an access point for RDA entity that is selected for preference in a specific vocabulary encoding scheme.,rdax:P00020,property,rdac:C10013,rdau:P60916,rdax:P00016,Published,,3
has category of RDA entity,rdax:categoryOfRDAEntity.en,Relates an RDA entity to a type to which an RDA entity belongs.,type of RDA entity,,,,category of RDA entity,A type to which an RDA entity belongs.,rdax:P00029,property,rdac:C10013,rdau:P60944,,Published,,5
has identifier for RDA entity,rdax:identifierForRDAEntity.en,"Relates an RDA entity to a nomen that is an appellation of RDA entity that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify an RDA entity.",,,,,identifier for RDA entity,"A nomen that is an appellation of RDA entity that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify an RDA entity.",rdax:P00018,property,rdac:C10013,rdau:P60919,rdax:P00017,Published,,3
has name of RDA entity,rdax:nameOfRDAEntity.en,Relates an RDA entity to a nomen that is an appellation of RDA entity in natural language and phrasing used in common discourse.,,,,,name of RDA entity,A nomen that is an appellation of RDA entity in natural language and phrasing used in common discourse.,rdax:P00019,property,rdac:C10013,rdau:P60939,rdax:P00017,Published,,3
has note on RDA entity,rdax:noteOnRDAEntity.en,Relates an RDA entity to a broad unstructured description of one or more attributes of an RDA entity.,,,,,note on RDA entity,A broad unstructured description of one or more attributes of an RDA entity.,rdax:P00015,property,rdac:C10013,rdau:P60936,,Published,,6
has preferred name of RDA entity,rdax:preferredNameOfRDAEntity.en,Relates an RDA entity to a nomen that is a name of RDA entity that is selected for preference in a specific application or context.,preferred name,,,,preferred name of RDA entity,A nomen that is a name of RDA entity that is selected for preference in a specific application or context.,rdax:P00021,property,rdac:C10013,rdau:P60939,rdax:P00019,Published,,3
has related agent of RDA entity,rdax:relatedAgentOfRDAEntity.en,Relates an RDA entity to an agent who is associated with an RDA entity.,related agent,associated agent,agent associated with RDA entity,,related agent of RDA entity,An agent who is associated with an RDA entity.,rdax:P00006,property,rdac:C10013,rdau:P61039,rdax:P00001,Published,,1
has related collective agent of RDA entity,rdax:relatedCollectiveAgentOfRDAEntity.en,Relates an RDA entity to a collective agent who is associated with an RDA entity.,related collective agent,associated collective agent,collective agent associated with RDA entity,,related collective agent of RDA entity,A collective agent who is associated with an RDA entity.,rdax:P00012,property,rdac:C10013,rdau:P61039,rdax:P00006,Published,,1
has related corporate body of RDA entity,rdax:relatedCorporateBodyOfRDAEntity.en,Relates an RDA entity to a corporate body who is associated with an RDA entity.,related corporate body,associated corporate body,corporate body associated with RDA entity,,related corporate body of RDA entity,A corporate body who is associated with an RDA entity.,rdax:P00009,property,rdac:C10013,rdau:P61039,rdax:P00012,Published,32.1,1
has related entity of RDA entity,rdax:relatedEntityOfRDAEntity.en,Relates an RDA entity to an entity that is associated with an RDA entity.,,,,,related entity of RDA entity,An entity that is associated with an RDA entity.,rdax:P00028,property,rdac:C10013,rdau:P61038,,Published,,1
has related expression of RDA entity,rdax:relatedExpressionOfRDAEntity.en,Relates an RDA entity to an expression that is associated with an RDA entity.,related expression,associated expression,expression associated with RDA entity,,related expression of RDA entity,An expression that is associated with an RDA entity.,rdax:P00003,property,rdac:C10013,rdau:P61042,rdax:P00001,Published,26.1,1
has related family of RDA entity,rdax:relatedFamilyOfRDAEntity.en,Relates an RDA entity to a family who is associated with an RDA entity.,related family,associated family,family associated with RDA entity,,related family of RDA entity,A family who is associated with an RDA entity.,rdax:P00008,property,rdac:C10013,rdau:P61039,rdax:P00012,Published,31.1,1
has related item of RDA entity,rdax:relatedItemOfRDAEntity.en,Relates an RDA entity to an item that is associated with an RDA entity.,related item,associated item,item associated with RDA entity,,related item of RDA entity,An item that is associated with an RDA entity.,rdax:P00005,property,rdac:C10013,rdau:P61042,rdax:P00001,Published,28.1,1
has related manifestation of RDA entity,rdax:relatedManifestationOfRDAEntity.en,Relates an RDA entity to a manifestation that is associated with an RDA entity.,related manifestation,associated manifestation,manifestation associated with RDA entity,,related manifestation of RDA entity,A manifestation that is associated with an RDA entity.,rdax:P00004,property,rdac:C10013,rdau:P61042,rdax:P00001,Published,27.1,1
has related nomen of RDA entity,rdax:relatedNomenOfRDAEntity.en,Relates an RDA entity to a nomen that is associated with an RDA entity.,related nomen,associated nomen,nomen associated with RDA entity,,related nomen of RDA entity,A nomen that is associated with an RDA entity.,rdax:P00013,property,rdac:C10013,rdau:P61043,rdax:P00001,Published,,1
has related person of RDA entity,rdax:relatedPersonOfRDAEntity.en,Relates an RDA entity to a person who is associated with an RDA entity.,related person,associated person,person associated with RDA entity,,related person of RDA entity,A person who is associated with an RDA entity.,rdax:P00007,property,rdac:C10013,rdau:P61039,rdax:P00006,Published,30.1,1
has related place of RDA entity,rdax:relatedPlaceOfRDAEntity.en,Relates an RDA entity to a place that is associated with an RDA entity.,related place,associated place,place associated with RDA entity,,related place of RDA entity,A place that is associated with an RDA entity.,rdax:P00010,property,rdac:C10013,rdau:P61040,rdax:P00001,Published,,1
has related RDA entity of RDA entity,rdax:relatedRDAEntityOfRDAEntity.en,Relates an RDA entity to an RDA entity that is associated with an RDA entity.,related entity,associated entity,entity associated with RDA entity,related resource,related RDA entity of RDA entity,An RDA entity that is associated with an RDA entity,rdax:P00001,property,rdac:C10013,rdau:P61038,rdax:P00028,Published,,1
has related timespan of RDA entity,rdax:relatedTimespanOfRDAEntity.en,Relates an RDA entity to a timespan that is associated with an RDA entity.,related timespan,associated timespan,timespan associated with RDA entity,,related timespan of RDA entity,A timespan that is associated with an RDA entity.,rdax:P00011,property,rdac:C10013,rdau:P61041,rdax:P00001,Published,,1
has related work of RDA entity,rdax:relatedWorkOfRDAEntity.en,Relates an RDA entity to a work that is associated with an RDA entity.,related work,associated work,work associated with RDA entity,,related work of RDA entity,A work that is associated with an RDA entity.,rdax:P00002,property,rdac:C10013,rdau:P61042,rdax:P00001,Published,25.1,1
has variant access point for RDA entity,rdax:variantAccessPointForRDAEntity.en,Relates an RDA entity to a nomen that is an access point for RDA entity that is not selected for preference in a specific vocabulary encoding scheme.,,,,,variant access point for RDA entity,A nomen that is an access point for RDA entity that is not selected for preference in a specific vocabulary encoding scheme.,rdax:P00022,property,rdac:C10013,rdau:P60917,rdax:P00016,Published,,3
has variant name of RDA entity,rdax:variantNameOfRDAEntity.en,Relates an RDA entity to a nomen that is a name of RDA entity that is not selected for preference in a specific application or context.,variant name,,,,variant name of RDA entity,A nomen that is a name of RDA entity that is not selected for preference in a specific application or context.,rdax:P00023,property,rdac:C10013,rdau:P60941,rdax:P00019,Published,,3
is RDA entity critiqued in,rdax:rdaEntityCritiquedIn.en,Relates an RDA entity to a work that contains a critical evaluation of a described RDA entity.,,,,,RDA entity critiqued in,A work that contains a critical evaluation of a described RDA entity.,rdax:P00024,property,rdac:C10013,rdau:P60215,rdax:P00014,Published,,2
is RDA entity described in,rdax:rdaEntityDescribedIn.en,Relates an RDA entity to a work that describes a described RDA entity.,,,,,RDA entity described in,A work that describes a described RDA entity.,rdax:P00025,property,rdac:C10013,rdau:P60215,rdax:P00014,Published,,2
is RDA entity evaluated in,rdax:rdaEntityEvaluatedIn.en,Relates an RDA entity to a work that examines or judges a described RDA entity.,,,,,RDA entity evaluated in,A work that examines or judges a described RDA entity.,rdax:P00026,property,rdac:C10013,rdau:P60218,rdax:P00014,Published,,2
is RDA entity reviewed in,rdax:rdaEntityReviewedIn.en,Relates an RDA entity to a work that contains a brief evaluation of a described RDA entity.,,,,,RDA entity reviewed in,A work that contains a brief evaluation of a described RDA entity.,rdax:P00027,property,rdac:C10013,rdau:P60211,rdax:P00014,Published,,2
is subject RDA entity of,rdax:subjectRDAEntityOf.en,Relates an RDA entity to a work that is about an RDA entity.,,,,,subject RDA entity of,A work that is about an RDA entity.,rdax:P00014,property,rdac:C10013,rdau:P60806,rdax:P00002,Published,,2