dc:title,dc:description,vann:preferredNamespacePrefix,dc:issued,dc:modified,owl:versionInfo,dc:rights,cc:licence,dc:creator,dc:contributor,dc:publisher,dc:type,rdf:type,Folder title (for URI formula),Namespace URI (formula)
RDA Aspect Ratio Designation,Concepts for a general designation of the ratio of the width to the height of a moving image.,rdaar,2009-03-31,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,AspectRatio,http://rdaregistry.info/termList/AspectRatio
RDA Bibliographic Format,"Concepts for a proportional relationship between a whole sheet and the individual leaves that result if that sheet is left full, cut, or folded in a manifestation.",rdabf,2009-04-12,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,bookFormat,http://rdaregistry.info/termList/bookFormat
RDA Broadcast Standard,Concepts for a system used to format a manifestation of a video for television broadcast.,rdabs,2009-04-14,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,broadcastStand,http://rdaregistry.info/termList/broadcastStand
RDA Carrier Extent Unit,Concepts for a type of unit or subunit of a manifestation.,rdacarx,2016-07-14,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDACarrierEU,http://rdaregistry.info/termList/RDACarrierEU
RDA Carrier Type,"Concepts for a categorization reflecting the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to view, play, run, or otherwise access the content of a manifestation.",rdact,2009-01-01,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDACarrierType,http://rdaregistry.info/termList/RDACarrierType
RDA Cartographic Data Type,Concepts for a machine-readable representation of geospatial features.,rdacdt,2016-07-12,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDACartoDT,http://rdaregistry.info/termList/RDACartoDT
RDA Colour Content,Concepts for an indication of the presence of colour or tone embodied by a manifestation.,rdacc,2015-03-14,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAColourContent,http://rdaregistry.info/termList/RDAColourContent
RDA Configuration of Playback Channels,Concepts for a number of sound channels used to make a recording.,rdacpc,2009-04-13,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,configPlayback,http://rdaregistry.info/termList/configPlayback
RDA Content Type,Concepts for a categorization that reflects the fundamental form of communication in which  the content is expressed and the human sense through which it is intended to be perceived.,rdaco,2008-12-31,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAContentType,http://rdaregistry.info/termList/RDAContentType
RDA Extension Plan,Concepts for a categorization that reflects an intention to extend the content of a work.,rdaep,2018-04-18,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAExtensionPlan,http://rdaregistry.info/termList/RDAExtensionPlan
RDA File Type,Concepts for a general type of data content encoded in a computer file.,rdaft,2009-06-01,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,fileType,http://rdaregistry.info/termList/fileType
RDA Font Size,Concepts for a size of the type that is used to represent the characters and symbols in a manifestation.,rdafs,2009-04-12,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,fontSize,http://rdaregistry.info/termList/fontSize
RDA Form of Musical Notation,Concepts for a set of characters or symbols used to express musical content of an expression.,rdafmn,2009-03-31,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,MusNotation,http://rdaregistry.info/termList/MusNotation
RDA Form of Notated Movement,Concepts for a set of characters or symbols used to express movement content of an expression.,rdafnv,2009-05-27,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,noteMove,http://rdaregistry.info/termList/noteMove
RDA Form of Tactile Notation,Concepts for a set of characters or symbols used to express the content of an expression in a form that can be perceived through touch.,rdaftn,2009-03-31,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,TacNotation,http://rdaregistry.info/termList/TacNotation
RDA Format of Notated Music,Concepts for a musical or physical layout of the content of an expression that is presented in the form of musical notation,rdafnm,2009-11-16,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,formatNoteMus,http://rdaregistry.info/termList/formatNoteMus
RDA Frequency,"Concepts for an interval at which a part, issue, or iteration of a diachronic work is issued.",rdafr,2009-03-31,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,frequency,http://rdaregistry.info/termList/frequency
RDA Generation,Concepts for a relationship between an original carrier and a carrier of a reproduction that is made from the original,rdagen,2016-07-12,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAGeneration,http://rdaregistry.info/termList/RDAGeneration
RDA Groove Pitch of an Analog Cylinder,Concepts for a groove pitch of an analog cylinder.,rdagrp,2009-04-13,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,groovePitch,http://rdaregistry.info/termList/groovePitch
RDA Groove Width of an Analog Disc,Concepts for a groove width of an analog disc.,rdagw,2009-06-15,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,grooveWidth,http://rdaregistry.info/termList/grooveWidth
RDA Illustrative Content,Concepts for an indication of the kinds of expression of image content that supplement the main expressions that are embodied by an augmentation aggregate.,rdaill,2009-03-31,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,IllusContent,http://rdaregistry.info/termList/IllusContent
RDA Interactivity Mode,Concepts for a capacity of content to respond to actions performed by the user.,rdaim,2018-04-18,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAInteractivityMode,http://rdaregistry.info/termList/RDAInteractivityMode
RDA Layout,"Concepts for an arrangement of text, images, tactile notation, or other content in a manifestation.",rdalay,2009-04-12,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,layout,http://rdaregistry.info/termList/layout
RDA Material,Concepts for a physical or chemical substance that is used to create a manifestation.,rdamat,2016-07-12,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAMaterial,http://rdaregistry.info/termList/RDAMaterial
RDA Media Type,"Concepts for a categorization that reflects the general type of intermediation device required to view, play, run, or otherwise access the content of a manifestation.",rdamt,2008-05-25,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAMediaType,http://rdaregistry.info/termList/RDAMediaType
RDA Mode of Issuance,Concepts for a categorization that reflects whether a manifestation is issued in one or more units.,rdami,2009-03-31,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,ModeIssue,http://rdaregistry.info/termList/ModeIssue
RDA Polarity,Concepts for a relationship of the colours and tones in an image of an object to the colours and tones of the object that is reproduced.,rdapo,2008-05-25,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAPolarity,http://rdaregistry.info/termList/RDAPolarity
RDA Presentation Format,Concepts for a format that is used in the production of a projected image.,rdapf,2009-04-13,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,presFormat,http://rdaregistry.info/termList/presFormat
RDA Production Method,Concepts for a process that is used to produce a manifestation.,rdapm,2008-05-19,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAproductionMethod,http://rdaregistry.info/termList/RDAproductionMethod
RDA Recording Medium,Concepts for a type of medium used to record sound on an audio carrier.,rdarm,2009-04-13,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,recMedium,http://rdaregistry.info/termList/recMedium
RDA Recording Methods,Concepts for a method used to record a value of an RDA element.,rdapath,2017-10-16,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDARecordingMethods,http://rdaregistry.info/termList/RDARecordingMethods
RDA Recording Source,Concepts for a source of information for a metadata work that is an unstructured description transcribed from a manifestation that is being described.,rdasource,2017-10-16,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDARecordingSources,http://rdaregistry.info/termList/RDARecordingSources
RDA Reduction Ratio Designation,Concepts for a numerical ratio of the size of a micro-image in relation to the original from which it was produced.,rdarr,2008-05-25,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAReductionRatio,http://rdaregistry.info/termList/RDAReductionRatio
RDA Regional Encoding,"Concepts for a designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",rdare,2017-02-07,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDARegionalEncoding,http://rdaregistry.info/termList/RDARegionalEncoding
RDA Scale Designation,Concepts for a general designation of the lack of a ratio of the dimensions of the content of an image or three-dimensional form to the dimensions of the thing that is represented.,rdasca,2009-11-11,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,scale,http://rdaregistry.info/termList/scale
RDA Sound Content,Concepts for an indication of the presence or absence of sound embodied by a manifestation.,rdasco,2009-05-27,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,soundCont,http://rdaregistry.info/termList/soundCont
RDA Special Playback Characteristic,"Concepts for an equalization system, noise-reduction system, or other processing that is used in making an audio recording.",rdaspc,2009-04-13,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,specPlayback,http://rdaregistry.info/termList/specPlayback
RDA Status of Identification,Concepts for an indication of a level of authentication of the nomen of an entity.,rdasoi,2009-05-06,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,statIdentification,http://rdaregistry.info/termList/statIdentification
RDA Terms,Concepts for terms used in RDA guidance and instructions in RDA Toolkit.,rdaterm,2016-07-18,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDATerms,http://rdaregistry.info/termList/RDATerms
RDA Track Configuration,Concepts for a configuration of the audio track on a soundtrack film.,rdatc,2009-04-13,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,trackConfig,http://rdaregistry.info/termList/trackConfig
RDA Type Of Binding,Concepts for a method used to bind a published or unpublished manifestation.,rdatb,2018-04-04,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDATypeOfBinding,http://rdaregistry.info/termList/RDATypeOfBinding
RDA Type of Recording,Concepts for a method used to encode audio content for playback.,rdatr,2009-04-13,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,typeRec,http://rdaregistry.info/termList/typeRec
RDA Unit of Time,Concepts for a unit of chronological duration that is used in the names and access points of calendrical timespans.,rdaut,2020-12-16,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAUnitOfTime,http://rdaregistry.info/termList/RDAUnitOfTime
RDA User Tasks,Concepts for a category of activity carried out by a person using a service for resource discovery.,rdatask,2017-07-02,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDATasks,http://rdaregistry.info/termList/RDATasks
RDA Video Format,Concepts for a schema or standard that is used to encode the analog video content of a manifestation.,rdavf,2009-04-14,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,videoFormat,http://rdaregistry.info/termList/videoFormat
ROF Character,Concepts for a fundamental form of communication in which the content of a resource is expressed.,rofch,2015-05-22,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,rofch,http://rdaregistry.info/termList/rofch
