*preferred label[0]_en,alternative label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,scope note[1]_en,scope note[2]_en,*uri,*status,has broader[0],has narrower[0],related to[0],related to[1],related to[2],related to[3],related to[4],related to[5],related to[6],related to[7],related to[8],related to[9],related to[10]
cartographic dataset,,1001,cartographic dataset,A content type that consists of cartographic content expressed through a digitally encoded dataset intended to be processed by a computer.,A content type that consists of cartographic content expressed through a digitally encoded dataset intended to be processed by a computer.,A cartographic dataset excludes cartographic data intended to be perceived in the form of an image or three-dimensional form.,,,rdaco:1001,Published,,,rdaco:1003,rdaco:1004,rdaco:1005,rdaco:1006,rdaco:1002,rdaco:1007,,,,,
cartographic image,,1002,cartographic image,"A content type that consists of cartographic content expressed through line, shape, shading, etc., intended to be perceived visually as a still image or images in two dimensions.","A content type that consists of cartographic content expressed through line, shape, shading, etc., intended to be perceived visually as a still image or images in two dimensions.","Maps, views, atlases, remote-sensing images, etc., are included.",,,rdaco:1002,Published,,,rdaco:1014,rdaco:1001,,,,,,,,,
cartographic moving image,,1003,cartographic moving image,"A content type that consists of cartographic content expressed through images intended to be perceived as moving, in two dimensions.","A content type that consists of cartographic content expressed through images intended to be perceived as moving, in two dimensions.",Satellite images of the earth or other celestial bodies in motion are included.,,,rdaco:1003,Published,,,rdaco:1023,rdaco:1001,,,,,,,,,
cartographic tactile image,,1004,cartographic tactile image,"A content type that consists of cartographic content expressed through line, shape, and/or other forms, intended to be perceived through touch as a still image in two dimensions.","A content type that consists of cartographic content expressed through line, shape, and/or other forms, intended to be perceived through touch as a still image in two dimensions.",,,,rdaco:1004,Published,,,rdaco:1001,,,,,,,,,,
cartographic tactile three-dimensional form,,1005,cartographic tactile three-dimensional form,A content type that consists of cartographic content expressed through a form or forms intended to be perceived through touch as a three-dimensional form or forms.,A content type that consists of cartographic content expressed through a form or forms intended to be perceived through touch as a three-dimensional form or forms.,,,,rdaco:1005,Published,,,rdaco:1001,,,,,,,,,,
cartographic three-dimensional form,,1006,cartographic three-dimensional form,A content type that consists of cartographic content expressed through a form or forms intended to be perceived visually in three-dimensions.,A content type that consists of cartographic content expressed through a form or forms intended to be perceived visually in three-dimensions.,"Globes, relief models, etc., are included.",,,rdaco:1006,Published,,,rdaco:1019,rdaco:1021,rdaco:1001,,,,,,,,
computer dataset,,1007,computer dataset,A content type that consists of content expressed through a digitally encoded dataset intended to be processed by a computer.,A content type that consists of content expressed through a digitally encoded dataset intended to be processed by a computer.,"Numeric data, environmental data, etc., used by applications software to calculate averages, correlations, etc., or to produce models, etc., but not normally displayed in its raw form, are included. Excludes data intended to be perceived visually in the form of notation, image, or three-dimensional form.","For data intended to be perceived in an audible form, see performed music, sounds, and spoken word.","For cartographic data, see cartographic dataset.",rdaco:1007,Published,,,rdaco:1001,rdaco:1009,rdaco:1010,rdaco:1014,rdaco:1020,rdaco:1023,rdaco:1022,rdaco:1021,rdaco:1013,rdaco:1012,rdaco:1011
computer program,,1008,computer program,A content type that consists of content expressed through digitally encoded instructions intended to be processed and performed by a computer.,A content type that consists of content expressed through digitally encoded instructions intended to be processed and performed by a computer.,"Operating systems, applications software, etc., are included.",,,rdaco:1008,Published,,,,,,,,,,,,,
notated movement,,1009,notated movement,A content type that consists of content expressed through a form of notation for movement intended to be perceived visually.,A content type that consists of content expressed through a form of notation for movement intended to be perceived visually.,All forms of movement notation other than those intended to be perceived through touch are included.,,,rdaco:1009,Published,,,rdaco:1007,rdaco:1017,,,,,,,,,
notated music,,1010,notated music,A content type that consists of content expressed through a form of musical notation intended to be perceived visually.,A content type that consists of content expressed through a form of musical notation intended to be perceived visually.,All forms of music notation other than those intended to be perceived through touch are included.,,,rdaco:1010,Published,,,rdaco:1007,rdaco:1016,,,,,,,,,
performed music,,1011,performed music,A content type that consists of content expressed through music in an audible form.,A content type that consists of content expressed through music in an audible form.,"Recorded performances of music, computer-generated music, etc., are included.",,,rdaco:1011,Published,,,rdaco:1007,,,,,,,,,,
sounds,,1012,sounds,"A content type that consists of content other than language or music, expressed in an audible form.","A content type that consists of content other than language or music, expressed in an audible form.","Natural sounds, artificially produced sounds, etc., are included.",,,rdaco:1012,Published,,,rdaco:1007,,,,,,,,,,
spoken word,,1013,spoken word,A content type that consists of content expressed through language in an audible form.,A content type that consists of content expressed through language in an audible form.,"Recorded readings, recitations, speeches, interviews, oral histories, etc., computer-generated speech, etc., are included.",,,rdaco:1013,Published,,,rdaco:1007,,,,,,,,,,
still image,,1014,still image,"A content type that consists of content expressed through line, shape, shading, etc., intended to be perceived visually as a still image or images in two dimensions.","A content type that consists of content expressed through line, shape, shading, etc., intended to be perceived visually as a still image or images in two dimensions.","Drawings, paintings, diagrams, photographic images known as stills, etc., are included.","For cartographic content intended to be perceived as a two-dimensional image, see cartographic image.","For images intended to be perceived through touch, see tactile image.",rdaco:1014,Published,,,rdaco:1007,rdaco:1002,rdaco:1015,,,,,,,,
tactile image,,1015,tactile image,"A content type that consists of content expressed through line, shape, and/or other forms, intended to be perceived through touch as a still image in two dimensions.","A content type that consists of content expressed through line, shape, and/or other forms, intended to be perceived through touch as a still image in two dimensions.",,,,rdaco:1015,Published,,,rdaco:1014,,,,,,,,,,
tactile notated music,,1016,tactile notated music,A content type that consists of content expressed through a form of musical notation intended to be perceived through touch.,A content type that consists of content expressed through a form of musical notation intended to be perceived through touch.,Braille music and other tactile forms of musical notation are included.,,,rdaco:1016,Published,,,rdaco:1010,,,,,,,,,,
tactile notated movement,,1017,tactile notated movement,A content type that consists of content expressed through a form of notation for movement intended to be perceived through touch.,A content type that consists of content expressed through a form of notation for movement intended to be perceived through touch.,,,,rdaco:1017,Published,,,rdaco:1009,,,,,,,,,,
tactile text,,1018,tactile text,A content type that consists of content expressed through a form of notation for language intended to be perceived through touch.,A content type that consists of content expressed through a form of notation for language intended to be perceived through touch.,Braille text and other tactile forms of language notation are included.,,,rdaco:1018,Published,,,rdaco:1020,,,,,,,,,,
tactile three-dimensional form,,1019,tactile three-dimensional form,A content type that consists of content expressed through a form or forms intended to be perceived through touch as a three-dimensional form or forms.,A content type that consists of content expressed through a form or forms intended to be perceived through touch as a three-dimensional form or forms.,,,,rdaco:1019,Published,,,rdaco:1021,rdaco:1006,,,,,,,,,
text,,1020,text,A content type that consists of content expressed through a form of notation for language intended to be perceived visually.,A content type that consists of content expressed through a form of notation for language intended to be perceived visually.,All forms of language notation other than those intended to be perceived through touch are included.,,,rdaco:1020,Published,,,rdaco:1007,rdaco:1018,,,,,,,,,
three-dimensional form,,1021,three-dimensional form,A content type that consists of content expressed through a form or forms intended to be perceived visually in three-dimensions.,A content type that consists of content expressed through a form or forms intended to be perceived visually in three-dimensions.,"Sculptures, models, naturally occurring objects and specimens, holograms, etc., are included. Excludes cartographic content intended to be perceived as a three-dimensional form. Excludes three-dimensional forms intended to be perceived through touch. ",,,rdaco:1021,Published,,rdaco:1006,rdaco:1019,rdaco:1007,rdaco:1006,,,,,,,,
three-dimensional moving image,,1022,three-dimensional moving image,"A content type that consists of content expressed through images intended to be perceived to be moving, and in three dimensions.","A content type that consists of content expressed through images intended to be perceived to be moving, and in three dimensions.","Three-dimensional motion pictures using live action or animation, and stereoscopic, known as S-3D, video games, etc., are included. Three-dimensional moving images may or may not be accompanied by sound.",Three-dimensional moving images may or may not be accompanied by sound.,,rdaco:1022,Published,,,rdaco:1007,rdaco:1003,rdaco:1023,,,,,,,,
two-dimensional moving image,,1023,two-dimensional moving image,"A content type that consists of content expressed through images intended to be perceived to be moving, and in two dimensions.","A content type that consists of content expressed through images intended to be perceived to be moving, and in two dimensions.","Motion pictures using live action and/or animation, film and video recordings of performances, events, etc., other than those intended to be perceived in three dimensions, are included. Moving images may or may not be accompanied by sound.",,,rdaco:1023,Published,,,rdaco:1007,rdaco:1003,rdaco:1022,,,,,,,,
performed movement,,1024,performed movement,A content type that consists of content expressed through choreography in a visual form.,A content type that consists of content expressed through choreography in a visual form.,"Includes performed dance and mime, and animated choreography.",,,rdaco:1024,Published,,,,,,,,,,,,,